Galaxy,Best_Beta,Best_a0,Ups_Disk,Ups_Bulge,Chi2_Total,Chi2_Red,MAPE_Percent,BIC,N_Points,Boundary
F571-8,1.9992,14802.87,0.1,0.005,288.53,32.059,35.27,298.79,13,upper
NGC0247,0.5,1151.95,1.627,0.762,40.36,1.835,4.08,53.39,26,lower
NGC0801,0.5,1901.14,0.601,1.599,62.49,6.943,5.36,72.75,13,lower
NGC2998,0.5042,3266.22,0.723,0.799,29.09,3.232,11.0,39.35,13,lower
NGC4051,0.5014,892.55,0.616,1.166,7.35,2.45,4.85,15.13,7,lower
NGC4085,1.9972,8820.19,0.1,0.043,17.41,5.804,11.75,25.2,7,upper
NGC5985,0.5085,4004.5,1.099,3.975,178.46,6.154,3.82,192.45,33,lower
NGC6015,0.5162,4071.28,0.811,0.584,431.32,10.783,5.87,446.45,44,lower
