R_kpc,Vobs_kms,Verr_kms,Vbary_kms,Vpred_kms,gN_code,y,nu,beta,a0_code
0.72,125.0,17.6,142.48485954654973,142.53988147105778,28197.13222222223,7.615058513594447,1.0007724687143713,2.989181468614697,3702.8122859311643
1.43,162.0,8.5,169.83829618198598,170.01571977970724,20171.36143356643,5.447578725556119,1.0020904151248395,2.989181468614697,3702.8122859311643
2.16,178.0,5.22,186.204926223771,186.5867728336136,16051.978958333333,4.335077697382292,1.0041055641232088,2.989181468614697,3702.8122859311643
2.87,193.0,1.88,198.58496770903884,199.22683654367762,13740.762857142856,3.7108991210142857,1.0064748723966652,2.989181468614697,3702.8122859311643
3.59,192.0,3.59,193.36047191709062,194.74487443535577,10414.560473537602,2.8126082742859326,1.0143706565899977,2.989181468614697,3702.8122859311643
4.3,190.0,0.97,192.52814937042325,194.85498025159137,8620.253093023257,2.328028651567326,1.0243173950312159,2.989181468614697,3702.8122859311643
5.03,195.0,0.99,193.7393941613321,197.17604762327005,7462.217266401589,2.015283706050745,1.0357917302228359,2.989181468614697,3702.8122859311643
5.75,201.0,0.45,195.83451279077443,200.46008859171667,6669.766330434782,1.8012704440288696,1.0477975344232098,2.989181468614697,3702.8122859311643
6.46,204.0,0.81,198.71293692158045,204.52709571445286,6112.51258513932,1.6507757113056507,1.0593742648929378,2.989181468614697,3702.8122859311643
7.18,204.0,0.65,196.1884102081466,203.9814827166826,5360.709233983287,1.4477399392756967,1.0810226478938803,2.989181468614697,3702.8122859311643
7.91,206.0,0.66,193.6562997942489,203.70323514995323,4741.183621997472,1.2804277548747474,1.1064520397898616,2.989181468614697,3702.8122859311643
8.62,206.0,1.54,190.99794278996828,203.47099022646992,4232.043404872389,1.142926802136862,1.1348739262743672,2.989181468614697,3702.8122859311643
11.49,206.0,1.9,176.77215023866174,201.1220747868794,2719.616457789382,0.7344732186728895,1.294469409583148,2.989181468614697,3702.8122859311643
14.3,206.0,0.42,165.5611166608875,201.34738805502056,1916.8170174825175,0.5176651878264161,1.4790242900470063,2.989181468614697,3702.8122859311643
17.19,203.0,4.19,154.83475966332625,201.51597612427676,1394.6365794066317,0.376642527817452,1.6938776451986202,2.989181468614697,3702.8122859311643
20.07,200.0,1.23,141.82234538322936,198.97150897975382,1002.1712830094668,0.2706513875459517,1.968305294790768,2.989181468614697,3702.8122859311643
22.96,194.0,4.09,130.76533294417143,196.75561670437847,744.7548911149829,0.20113222966896788,2.2639614620489823,2.989181468614697,3702.8122859311643
25.85,188.0,5.2,122.00514149002082,195.29429007917759,575.8318974854932,0.15551204139441974,2.562257810870286,2.989181468614697,3702.8122859311643
28.74,184.0,1.16,115.74006998442674,195.04749784692453,466.10173277661795,0.12587776446231735,2.8399669465914315,2.989181468614697,3702.8122859311643
31.62,182.0,2.47,110.92731133494581,195.38803262038513,389.1482732447817,0.10509532841385198,3.10255112450164,2.989181468614697,3702.8122859311643
34.51,180.0,3.85,107.30540480329964,196.30274303899742,333.6554592871632,0.09010866161238773,3.3466441957105255,2.989181468614697,3702.8122859311643
37.4,181.0,8.43,102.64357115767163,195.79085076693428,281.70328074866313,0.07607819651538772,3.6384907903712898,2.989181468614697,3702.8122859311643
40.29,180.0,4.55,99.79792983824865,196.62091028677563,247.19848101265822,0.06675965777468355,3.8816496981594004,2.989181468614697,3702.8122859311643
43.17,179.0,0.44,97.31763252360797,197.4956391769875,219.38201528839468,0.059247403958860315,4.118432485010103,2.989181468614697,3702.8122859311643
45.92,179.0,1.96,95.64092455638433,198.80108364232507,199.19831119337977,0.05379649191244011,4.320658715485429,2.989181468614697,3702.8122859311643
48.81,179.0,2.99,93.24102128355308,199.27602184927946,178.11694427371438,0.04810315255528068,4.567683947123578,2.989181468614697,3702.8122859311643
51.7,174.0,3.39,90.73830530707525,199.4024699263811,159.2541595744681,0.043008974605478735,4.829250564925325,2.989181468614697,3702.8122859311643
54.59,172.0,4.84,87.85020660191984,198.8659748172665,141.37495511998532,0.03818042725447884,5.1243099707934325,2.989181468614697,3702.8122859311643
