R_kpc,Vobs_kms,Verr_kms,Vbary_kms,Vpred_kms,gN_code,y,nu,beta,a0_code
2.67,221.0,20.0,252.55160922076897,254.40495217170283,23888.50761048689,6.451449807826142,1.0147307974753277,1.899836394725955,3702.8122859311643
3.21,237.0,13.0,265.02686407230493,267.30956137445327,21881.38276635514,5.9093956367957015,1.0173003430139487,1.899836394725955,3702.8122859311643
3.74,249.0,8.0,276.2691730541068,278.96950791621185,20407.662026737966,5.51139524525099,1.0196441156237415,1.899836394725955,3702.8122859311643
4.27,250.0,5.0,276.40469972487807,279.82676985966503,17892.16815690867,4.8320483932955405,1.0249145826124606,1.899836394725955,3702.8122859311643
4.81,253.0,5.0,273.9291623212103,278.25294858755876,15600.24656340956,4.2130805881472035,1.0318177900304681,1.899836394725955,3702.8122859311643
5.35,257.0,5.0,274.8457125916284,280.00933341012666,14119.657145794396,3.813225207078964,1.0379276513242492,1.899836394725955,3702.8122859311643
5.88,257.0,5.0,269.4867505648469,275.8553907572967,12350.868831632655,3.3355373910148733,1.0478234537270108,1.899836394725955,3702.8122859311643
6.41,257.0,5.0,265.180273078523,272.82496405772923,10970.448865834636,2.9627342729516313,1.058487628303293,1.899836394725955,3702.8122859311643
7.48,257.0,5.0,254.02275984643583,264.81199105776943,8626.679481283423,2.329764194112808,1.086750961439852,1.899836394725955,3702.8122859311643
8.55,255.0,5.0,238.60471041033537,253.5805327219653,6658.737757894737,1.7982920125858424,1.1294676427720003,1.899836394725955,3702.8122859311643
9.62,248.0,6.0,229.3329927201928,248.30954100534598,5467.112427234928,1.476475717661201,1.172340415760656,1.899836394725955,3702.8122859311643
10.66,247.0,6.0,221.49136014752358,244.45749480515227,4602.103435272044,1.2428670642467448,1.2181285816973757,1.899836394725955,3702.8122859311643
11.74,246.0,6.0,213.95827869002872,241.145549706234,3899.330921635434,1.0530728053514737,1.2702824921742923,1.899836394725955,3702.8122859311643
12.83,244.0,6.0,208.71575223255192,239.82770538144848,3395.3441332813723,0.9169636133546339,1.3203475063762393,1.899836394725955,3702.8122859311643
13.91,242.0,4.0,203.51846518190922,238.52632240986014,2977.69702875629,0.8041717480710675,1.3736148807713078,1.899836394725955,3702.8122859311643
15.0,238.0,3.0,197.96862685789384,236.95122824389873,2612.771814666667,0.7056182201279535,1.4326007920303898,1.899836394725955,3702.8122859311643
16.08,236.0,3.0,193.13934407572165,235.8814912802346,2319.826258084577,0.6265038783896114,1.4915788797637435,1.899836394725955,3702.8122859311643
17.07,233.0,3.0,189.68860661621193,235.62224435431793,2107.8949900410075,0.5692686604854248,1.542943716298116,1.899836394725955,3702.8122859311643
18.15,234.0,3.0,187.2646016202742,236.33562522785428,1932.1229212121216,0.5217987767171517,1.5927477570664244,1.899836394725955,3702.8122859311643
19.24,236.0,3.0,185.5578518414136,237.56231687959286,1789.5902484407484,0.48330569044515076,1.6390659640186112,1.899836394725955,3702.8122859311643
20.32,237.0,3.0,183.2082060662131,238.17869793052833,1651.833010334646,0.4461022819360262,1.6901139603295057,1.899836394725955,3702.8122859311643
21.41,238.0,3.0,179.29356494308433,237.4867834841433,1501.4564423166744,0.40549083409425274,1.7544842984842217,1.899836394725955,3702.8122859311643
22.49,240.0,3.0,175.52189236673584,236.80088400871463,1369.850364606492,0.36994863871745226,1.8201368969828646,1.899836394725955,3702.8122859311643
23.48,238.0,3.0,172.5171474085982,236.45879880166245,1267.553924616695,0.34232195065160775,1.8786523551050427,1.899836394725955,3702.8122859311643
24.57,237.0,3.0,168.4120560411279,235.35533701424126,1154.359813593814,0.3117521830582134,1.9529977643189678,1.899836394725955,3702.8122859311643
25.65,236.0,3.0,164.72852014754457,234.4820695531124,1057.9136588693957,0.2857054522825634,2.0261970712055333,1.899836394725955,3702.8122859311643
26.74,238.0,3.0,161.43043229205577,233.85579017389603,974.561872475692,0.26319505209014776,2.098579543542068,1.899836394725955,3702.8122859311643
27.82,239.0,3.0,158.04190346234128,233.04665044188474,897.8160765636233,0.24246869871715493,2.174408950522673,1.899836394725955,3702.8122859311643
28.91,239.0,3.0,154.49986090608624,232.04252220090987,825.6730204081631,0.22298538425653058,2.255687689019455,1.899836394725955,3702.8122859311643
29.89,241.0,4.0,151.3289849962657,231.07145990455987,766.1579692204753,0.20691245195752767,2.3315695675438985,1.899836394725955,3702.8122859311643
30.98,236.0,4.0,148.00584289142103,230.08137391814464,707.0926252420918,0.19096096983600555,2.416602403109333,1.899836394725955,3702.8122859311643
32.06,236.0,5.0,145.20414790907319,229.4390993576189,657.6495499064255,0.17760812569547882,2.496760087337353,1.899836394725955,3702.8122859311643
33.15,239.0,5.0,142.88869958817597,229.16109656602103,615.9028799396682,0.16633381127090652,2.5720891411281737,1.899836394725955,3702.8122859311643
34.23,237.0,5.0,140.66870540386728,228.88331332681005,578.080183464797,0.1561192247474204,2.6474836225992817,1.899836394725955,3702.8122859311643
35.32,241.0,7.0,138.31511551526103,228.4382869419764,541.6498069082674,0.14628065510268123,2.727711922139466,1.899836394725955,3702.8122859311643
36.31,238.0,9.0,135.51705269079608,227.38116118022037,505.7799936656568,0.13659347398931562,2.8152765600671916,1.899836394725955,3702.8122859311643
