R_kpc,Vobs_kms,Verr_kms,Vbary_kms,Vpred_kms,gN_code,y,nu,beta,a0_code
0.11,9.1,8.5,19.265485978817146,24.004957119650943,3374.172272727273,0.9112458348340912,1.5525369018213906,1.1630680210683966,3702.8122859311643
0.14,17.6,7.4,21.159549853434974,26.5696892171407,3198.0467857142858,0.8636805051839287,1.5767400550524482,1.1630680210683966,3702.8122859311643
0.17,19.3,7.4,22.86293288272526,28.874658894638237,3074.7864705882353,0.8303922081794118,1.5950336221945416,1.1630680210683966,3702.8122859311643
0.21,24.8,6.4,25.19552936534575,31.900817456559984,3022.9271428571424,0.8163868188357143,1.603085363960164,1.1630680210683966,3702.8122859311643
0.24,30.0,7.2,26.866108761783867,34.041980136070045,3007.449166666666,0.8122067591958332,1.6055361583897485,1.1630680210683966,3702.8122859311643
0.28,35.0,7.3,28.772112365969935,36.549956579266635,2956.551607142857,0.7984611097830357,1.6137276311058038,1.1630680210683966,3702.8122859311643
0.32,38.3,7.6,30.565053574302794,38.90110456748954,2919.4453125,0.7884399983203126,1.619845311551323,1.1630680210683966,3702.8122859311643
0.35,42.7,8.8,31.87106681615788,40.59939632869501,2902.185428571429,0.7837787077671431,1.6227288246074,1.1630680210683966,3702.8122859311643
0.39,47.0,5.3,33.494985445585726,42.724986514867915,2876.7026923076914,0.7768967125980768,1.627062672666989,1.1630680210683966,3702.8122859311643
0.42,49.8,5.6,34.60385021930363,44.19916000342142,2851.0153571428573,0.7699594624267858,1.631470346264731,1.1630680210683966,3702.8122859311643
0.46,52.2,6.2,36.10109278124417,46.155255150649204,2833.236739130434,0.7651580799532608,1.6345628187438181,1.1630680210683966,3702.8122859311643
0.49,53.4,6.3,37.23880905721879,47.61797230323998,2830.0589795918368,0.7642998783234695,1.63512225516619,1.1630680210683966,3702.8122859311643
0.53,54.6,5.9,38.800516749136214,49.58702234499786,2840.5284905660374,0.767127326804717,1.633281492756575,1.1630680210683966,3702.8122859311643
0.56,55.5,6.9,39.81709243528462,50.91209189446712,2831.072946428571,0.7645737152772321,1.6349436806916464,1.1630680210683966,3702.8122859311643
0.6,55.9,7.5,40.76917156381768,52.30213543382656,2770.208916666667,0.7481364710795835,1.6457924614039101,1.1630680210683966,3702.8122859311643
0.63,58.3,7.4,41.45362408764763,53.306627125641434,2727.62373015873,0.7366357026853174,1.6536264067238546,1.1630680210683966,3702.8122859311643
0.66,59.3,6.3,42.208825498940385,54.36469103997421,2699.371136363636,0.7290056659420455,1.6589271434246524,1.1630680210683966,3702.8122859311643
0.7,59.5,6.7,43.26767037870193,55.80843686124076,2674.4161428571433,0.7222661956207145,1.6636910950310466,1.1630680210683966,3702.8122859311643
0.87,59.1,5.1,46.84075629193021,60.9722159899839,2521.903965517241,0.6810779944474138,1.6944008540569904,1.1630680210683966,3702.8122859311643
1.05,62.6,5.5,49.40893492072056,65.15230218523769,2324.99319047619,0.6278992859859523,1.7387956630519277,1.1630680210683966,3702.8122859311643
1.22,65.6,4.8,51.44694160006016,68.60686141963863,2169.498196721312,0.5859055304975412,1.7783448427008388,1.1630680210683966,3702.8122859311643
1.4,70.7,4.6,53.814995586732145,72.33092564140384,2068.609821428572,0.5586591114241074,1.8065144005501586,1.1630680210683966,3702.8122859311643
1.57,73.9,4.0,56.474580122387806,76.13509968218293,2031.4510828025477,0.5486238366770702,1.8174556418602001,1.1630680210683966,3702.8122859311643
1.75,78.5,4.2,59.34880074609764,80.13333911920603,2012.731514285714,0.5435683364055715,1.8230668103994159,1.1630680210683966,3702.8122859311643
1.92,82.4,4.6,62.9754217929503,84.66370931064642,2065.5748697916665,0.5578394772102865,1.8073922430007632,1.1630680210683966,3702.8122859311643
2.1,87.1,4.9,66.61528203047706,89.21999465915485,2113.140857142857,0.5706853855842857,1.793810839414356,1.1630680210683966,3702.8122859311643
2.27,89.6,5.4,69.4450084599318,92.92795161757395,2124.49744493392,0.5737524024660792,1.7906497984199439,1.1630680210683966,3702.8122859311643
2.45,94.9,5.7,70.144573917018,94.74505198546646,2008.2698979591842,0.5423634099923471,1.8244203751840897,1.1630680210683966,3702.8122859311643
2.62,98.1,5.0,70.24796865390486,95.91729217906337,1883.502709923664,0.5086681593555343,1.864344985098478,1.1630680210683966,3702.8122859311643
2.79,99.3,5.7,71.00556703526844,97.64065526077611,1807.0933870967744,0.48803267558629043,1.8909348703019258,1.1630680210683966,3702.8122859311643
2.97,98.6,7.2,71.89381336387714,99.50641212232844,1740.309898989899,0.4699967928707071,1.9156629276094468,1.1630680210683966,3702.8122859311643
3.16,101.0,8.7,72.46758758231158,101.10963546744,1661.883306962025,0.44881651529469935,1.9466930622372964,1.1630680210683966,3702.8122859311643
3.33,103.0,9.4,72.44700442392356,102.02884092563677,1576.1466816816817,0.4256620535883634,1.9833759395152581,1.1630680210683966,3702.8122859311643
3.51,107.0,9.1,72.35326322979496,102.90464115456152,1491.4514814814813,0.4027888443462963,2.022803417766417,1.1630680210683966,3702.8122859311643
3.68,114.0,7.4,72.34187860430498,103.77508114026739,1422.10527173913,0.38406086021222824,2.0578162775261357,1.1630680210683966,3702.8122859311643
3.85,112.0,8.1,71.7261988397545,104.06654151062678,1336.272103896104,0.3608803257387014,2.105070337953372,1.1630680210683966,3702.8122859311643
4.03,114.0,7.6,71.09262444163951,104.36196346530532,1254.134305210918,0.3386977811367866,2.1549410237620976,1.1630680210683966,3702.8122859311643
4.2,116.0,7.2,70.28818037195158,104.42304692603524,1176.2924523809522,0.3176754211522619,2.207131055685387,1.1630680210683966,3702.8122859311643
4.38,114.0,7.8,69.47862045262558,104.49811896603443,1102.1184246575344,0.2976436123551371,2.262114442955092,1.1630680210683966,3702.8122859311643
4.73,114.0,11.4,68.33728191843745,104.97327620221449,987.3116490486254,0.26663832050031705,2.3596201787124746,1.1630680210683966,3702.8122859311643
5.25,109.0,9.9,67.1349573620182,105.9862983669345,858.4957142857146,0.23184964507857153,2.49230973591678,1.1630680210683966,3702.8122859311643
5.78,107.0,12.6,64.86683590248565,105.84094079223945,727.9768858131489,0.1966010776671281,2.6623304201515428,1.1630680210683966,3702.8122859311643
6.3,105.0,12.5,62.91388519238023,105.7902705948061,628.278880952381,0.16967613598440479,2.8274728601962833,1.1630680210683966,3702.8122859311643
6.82,101.0,5.2,61.18007763970229,105.80552131168186,548.8272580645162,0.14821903344919357,2.9908636541265885,1.1630680210683966,3702.8122859311643
7.35,94.5,4.6,58.787788272735696,105.04068855080936,470.2046326530613,0.12698581411744903,3.1925732989890827,1.1630680210683966,3702.8122859311643
7.87,90.8,6.1,56.55337390465753,104.25691631611126,406.3893392630241,0.10975153690806862,3.3985425496579946,1.1630680210683966,3702.8122859311643
