group,n,mean_change_pct,median_change_pct,improved_n,worsened_n,improved_rate
All,60,4.730211316307594,1.6364021309311163,26,34,0.43333333333333335
Golden,11,1.6986093664403408,5.050829670262322,4,7,0.36363636363636365
Rest,49,5.4107750193390185,1.2898631864458372,22,27,0.4489795918367347
Golden_sensitivity_excluding_flagged,9,-6.320584567428129,4.569664247225035,4,5,0.4444444444444444
