step,time,E_total,Drift_Rel
0,0.05,-17768.903256593367,-0.0
0,0.1,-17803.961583838725,0.001973015820903288
1,0.15000000000000002,-17846.24675151375,0.004352744443677725
2,0.2,-17883.399428890276,0.006443626297218092
3,0.25,-17906.893912586616,0.007765851048913025
4,0.3,-17914.298038326968,0.008182541130086384
5,0.35,-17909.272299697557,0.007899702141273399
6,0.39999999999999997,-17899.446128419055,0.007346703954688286
7,0.44999999999999996,-17892.657980492826,0.006964679930571329
8,0.49999999999999994,-17893.365189337885,0.007004480296122659
9,0.5499999999999999,-17901.34627673188,0.007453640679222577
10,0.6,-17912.99144530957,0.008109008566003504
11,0.65,-17923.807789794817,0.008717731812962122
12,0.7000000000000001,-17930.709575529163,0.009106151156276688
13,0.7500000000000001,-17933.218819076814,0.00924736659942565
14,0.8000000000000002,-17933.136864184584,0.009242754334332722
15,0.8500000000000002,-17932.889385740353,0.00922882671929327
16,0.9000000000000002,-17933.72936218787,0.009276098992398044
17,0.9500000000000003,-17935.146253692095,0.009355838945042497
18,1.0000000000000002,-17935.56102457187,0.009379181459422023
19,1.0500000000000003,-17933.397567521875,0.009257426221141197
20,1.1000000000000003,-17927.951139248973,0.008950911621210483
21,1.1500000000000004,-17919.85876156624,0.008495488032828331
22,1.2000000000000004,-17910.875723500074,0.0079899397760538
23,1.2500000000000004,-17902.91548116124,0.007541952512918619
24,1.3000000000000005,-17896.998804680043,0.007208973240323349
25,1.3500000000000005,-17892.93880230163,0.006980484046601889
26,1.4000000000000006,-17889.92167114955,0.006810685657331049
27,1.4500000000000006,-17887.381216882924,0.006667713734419435
28,1.5000000000000007,-17885.45981060621,0.006559580652204567
29,1.5500000000000007,-17884.870135834542,0.0065263948802324005
30,1.6000000000000008,-17886.34995187976,0.0066096761060824025
31,1.6500000000000008,-17889.955266620665,0.006812576346397801
32,1.7000000000000008,-17894.611224235057,0.007074604764649454
33,1.7500000000000009,-17898.298819260926,0.007282135582540579
34,1.800000000000001,-17898.846321953628,0.007312947990306846
35,1.850000000000001,-17895.01277361501,0.00709720319822489
36,1.900000000000001,-17887.296143788586,0.006662925982856498
37,1.950000000000001,-17877.834099050626,0.006130420143789068
38,2.000000000000001,-17869.356039055605,0.005653291090150093
39,2.0500000000000007,-17863.931425076193,0.005348004157069438
40,2.1000000000000005,-17862.32480223413,0.0052575864864420774
41,2.1500000000000004,-17864.035332088715,0.0053538518456421125
42,2.2,-17867.637650985078,0.005556583485538121
43,2.25,-17871.318056904154,0.005763709714204522
44,2.3,-17873.629329007264,0.005893783701874673
45,2.3499999999999996,-17874.05944455472,0.005917989784897676
46,2.3999999999999995,-17872.956311760398,0.0058559075742854695
47,2.4499999999999993,-17870.96244909952,0.005743696784903273
48,2.499999999999999,-17868.55466938648,0.005608191532932015
49,2.549999999999999,-17866.0522451731,0.005467359868915166
50,2.5999999999999988,-17863.81165120359,0.005341263511860529
51,2.6499999999999986,-17862.144982507212,0.00524746657502607
52,2.6999999999999984,-17861.16450686473,0.005192287275081484
53,2.7499999999999982,-17860.925479942834,0.0051788352956067705
54,2.799999999999998,-17861.57769197257,0.005215540545239556
55,2.849999999999998,-17863.20615330983,0.005307187244742996
56,2.8999999999999977,-17865.588756717516,0.005441275622246011
57,2.9499999999999975,-17868.186481846773,0.0055874706401232745
58,2.9999999999999973,-17870.417222946682,0.005713012496460494
59,3.049999999999997,-17871.995753349547,0.005801849178166174
