Radius_kpc,V_Newton,V_ISUT
0.1,2.3310144471033714,2.3335813607821505
0.2334448160535117,3.509357789433778,3.5133377350379247
0.3668896321070234,4.335287772189948,4.340350696770293
0.5003344481605351,4.989067116368361,4.9950662352508886
0.6337792642140467,5.53377475601687,5.540625290550043
0.7672240802675584,6.0006931764979825,6.008340143957048
0.9006688963210702,6.4081901499853995,6.416595537585733
1.0341137123745818,6.768216469110609,6.7773529835582975
1.1675585284280936,7.089108452561196,7.09895606653212
1.3010033444816054,7.376982194178917,7.387526065326055
1.434448160535117,7.636500077885502,7.647729212194181
1.5678929765886287,7.871324703961842,7.883231053931051
1.7013377926421405,8.084403668582686,8.09698150049596
1.834782608695652,8.278156673197328,8.291402108780037
1.9682274247491638,8.454603208154163,8.468513883596994
2.1016722408026753,8.61545248735225,8.630027293857875
2.235117056856187,8.762168520346533,8.777407402838875
2.368561872909699,8.896018296702128,8.911922094997099
2.5020066889632107,9.018108190281056,9.034678511881635
2.635451505016722,9.129411953519316,9.146651070379963
2.7688963210702338,9.230792583811436,9.248703347553331
2.9023411371237455,9.323019643235675,9.341605414762078
3.0357859531772573,9.406783149787435,9.42604774027748
3.169230769230769,9.482704845392895,9.502652466387003
3.302675585284281,9.551347430246379,9.571982651069721
3.436120401337792,9.613222201550094,9.634549912713547
3.569565217391304,9.66879542662228,9.690820808133621
3.7030100334448157,9.718493702003698,9.741222195743719
3.8364548494983275,9.762708492645494,9.786145778133198
3.9698996655518393,9.801800002449802,9.825951975452012
4.10334448160535,9.836100495211799,9.860973248754672
4.236789297658862,9.865917160496748,9.891516967917196
4.370234113712374,9.891534600146697,9.917867899885609
4.5036789297658855,9.91321699649975,9.940290378389955
4.637123745819397,9.931210011972775,9.959030204815887
4.770568561872909,9.945742460641252,9.974316320900932
4.904013377926421,9.957027785283563,9.986362286749952
5.0374581939799326,9.965265367620368,9.99536759192288
5.170903010033443,9.97064169485694,10.001518822721035
5.304347826086955,9.973331401887217,10.00499070504615
5.437792642140467,9.973498205459725,10.005947039145065
5.571237458193979,9.971295744095965,10.004541540041393
5.7046822742474905,9.966868335481754,10.00091859538371
5.838127090301002,9.960351661335773,9.995213950722132
5.971571906354514,9.951873388329597,9.98755533079403
6.105016722408026,9.941553732436896,9.978063004202177
6.238461538461538,9.929505973083359,9.966850297861454
6.371906354515049,9.915836922619771,9.954024066740768
6.505351170568561,9.90064735592086,9.939685123706141
6.638795986622072,9.88403240430032,9.923928633658477
6.772240802675584,9.866081917409444,9.906844475636
6.905685618729096,9.846880796338862,9.888517576103151
7.039130434782607,9.826509300757728,9.869028216262198
7.172575250836119,9.805043332592367,9.848452315891373
7.306020066889631,9.782554698459126,9.826861695925679
7.439464882943143,9.759111352816559,9.804324321746881
7.5729096989966544,9.7347776235852,9.780904528932052
7.706354515050166,9.709614421793617,9.756663233020365
7.839799331103678,9.68367943664379,9.731658124692109
7.973244147157189,9.65702731724345,9.705943851608282
8.1066889632107,9.62970984212516,9.67957218803127
8.240133779264212,9.60177607755925,9.652592193234348
8.373578595317724,9.57327252556815,9.625050359608025
8.507023411371236,9.544243262461485,9.59699075128313
8.640468227424748,9.514730068633131,9.568455134012211
8.77391304347826,9.484772550291751,9.539483096981167
8.907357859531771,9.454408253734496,9.510112167161095
9.040802675585283,9.423672772718094,9.480377916754906
9.174247491638795,9.392599849432127,9.450314064243688
9.307692307692307,9.361221469534916,9.419952569493566
9.441137123745818,9.32956795167266,9.389323723343786
9.57458193979933,9.297668031866584,9.358456232061043
9.708026755852842,9.265548943120722,9.327377297012788
9.841471571906354,9.23323649057378,9.296112689883094
9.974916387959865,9.200755122492243,9.26468682372835
10.108361204013375,9.16812799737814,9.23312282014635
10.241806020066887,9.135377047443248,9.201442572810576
10.375250836120399,9.102523038682023,9.169666807602066
10.50869565217391,9.069585627757633,9.137815139553352
10.642140468227423,9.036583415899404,9.105906126802731
10.775585284280934,9.003533999995103,9.073957321742459
10.909030100334446,8.970454021048099,9.041985319530841
11.042474916387958,8.937359210157055,9.010005804126004
11.17591973244147,8.904264432164615,8.978033591987723
11.309364548494981,8.871183727111125,8.946082673583486
11.442809364548493,8.838130349620073,8.914166252825414
11.576254180602005,8.805116806333153,8.882296784555983
11.709698996655517,8.772154891504893,8.850486010192503
11.843143812709028,8.73925572085947,8.818744991632954
11.97658862876254,8.706429763805478,8.787084143519005
12.110033444816052,8.673686874098257,8.75551326394576
12.243478260869564,8.641036319033558,8.72404156370204
12.376923076923076,8.608486807251,8.692677694119665
12.510367892976587,8.576046515220865,8.661429773605253
12.6438127090301,8.543723112483214,8.630305412923532
12.777257525083611,8.511523785704002,8.59931173929682
12.910702341137123,8.479455261609054,8.568455419381568
13.044147157190633,8.447523828853045,8.537742681179042
13.177591973244144,8.415735358877237,8.507179334933966
13.311036789297656,8.384095325806639,8.476770793071713
13.444481605351168,8.35260882543422,8.446522089221716
13.57792642140468,8.321280593337194,8.416437896372106
13.711371237458192,8.290115022167727,8.386522544197891
13.844816053511703,8.259116178158123,8.35678003560279
13.978260869565215,8.228287816878305,8.327214062512432
14.111705685618727,8.197633398281274,8.297828020954741
14.245150501672239,8.167156101070384,8.2686250254612
14.37859531772575,8.136858836420384,8.239607922821024
14.512040133779262,8.10674426108246,8.210779305218479
14.645484949832774,8.076814789901999,8.18214152278201
14.778929765886286,8.047072607776204,8.153696695572364
14.912374581939797,8.017519681077344,8.125446725035452
15.04581939799331,7.988157768566055,8.097393304944413
15.179264214046821,7.958988431817929,8.069537931854056
