Galaxy,Set,Mode,n,ud_isut,ub_isut,zD,zi,V200_dm,c_dm,score_isut,score_dm,k_isut,k_dm,bic_style_isut,bic_style_dm,delta_bic_style,winner,success_isut,success_dm,message_isut,message_dm,nfev_isut,nfev_dm
NGC3726,All65,none,12,0.2777389324414397,0.7,0.0,0.0,130.1969043403768,1.0,35.4316050925279,31.61928209868592,2,4,40.401418392103906,41.55890869783792,1.1574903057340151,ISUT,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,24,110
NGC3741,All65,none,21,0.2994700566772449,0.7,0.0,0.0,40.964495033541894,1.0,23.834723336463036,64.14623537246351,2,4,29.92376821190988,76.3243251233572,46.40055691144732,ISUT,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,60
NGC3769,All65,none,12,0.3162550218497242,0.7,0.0,0.0,112.58111414560933,1.617552760335898,8.425285558988838,4.261983883548977,2,4,13.39509885856484,14.201610482700978,0.8065116241361387,ISUT,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,120
NGC3877,All65,none,13,0.369761208568094,0.7,0.0,0.0,181.20557072519384,1.7804668335292004,88.34208258703458,36.33405330181064,2,4,93.47198130195765,46.59385073165679,-46.87813057030087,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,24,165
NGC3893,All65,none,10,0.5027664231734388,0.7,0.0,0.0,164.49281874359377,3.1069078113885444,9.208149132056496,3.7223811533024476,2,4,13.813319318044588,12.93272152527863,-0.8805977927659576,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,15,140
NGC3917,All65,none,17,0.5048343777196064,0.7,0.0,0.0,10.0,1.0,47.76124087906789,83.56442853237165,2,4,53.42766756718032,94.89728190859651,41.46961434141619,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,15,75
NGC3949,All65,none,7,0.39988191424243014,0.7,0.0,0.0,149.68670198149542,2.931098605755699,2.163934964384656,0.5789188111001249,2,4,6.055755262495282,8.362559407321378,2.3068041448260956,ISUT,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,24,160
NGC3953,All65,none,8,0.4900551441349467,0.7,0.0,0.0,170.8086093314995,2.5531768645986865,18.49289342905049,1.3556205587903793,2,4,22.651776512410162,9.673386725509722,-12.97838978690044,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,24,185
NGC3972,All65,none,10,0.5597993572061166,0.7,0.0,0.0,145.075474054155,1.0,12.683269325968734,11.026959385858147,2,4,17.288439511956824,20.23729975783433,2.948860245877505,ISUT,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,18,95
NGC3992,All65,none,9,0.6070028212308807,0.7,0.0,0.0,213.21995707107214,1.9631983083772548,26.383823892438887,2.870285523493849,2,4,30.778273047111327,11.659183832838728,-19.1190892142726,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,135
NGC4013,All65,none,36,0.17039598997652844,1.6117902629423877,0.0,0.0,142.3104514305437,1.0,50.58940479242485,59.864896187384694,2,4,57.75644266933707,74.19897194120914,16.44252927187207,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,48,200
NGC4051,All65,none,7,0.3111487577468818,0.7,0.0,0.0,109.68356626198161,1.5966168196667572,12.00201680803732,3.219025725850476,2,4,15.893837106147947,11.002666322071729,-4.891170784076218,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,21,150
