Galaxy,Set,Mode,n,ud_isut,ub_isut,zD,zi,V200_dm,c_dm,score_isut,score_dm,k_isut,k_dm,bic_style_isut,bic_style_dm,delta_bic_style,winner,success_isut,success_dm,message_isut,message_dm,nfev_isut,nfev_dm
NGC3726,All65,smart,12,0.3745286834183181,0.7,-0.7308443316758386,-0.7970607788014911,130.1969043403768,1.0,30.986934607984832,31.61928209868592,4,4,40.926561207136835,41.55890869783792,0.6323474907010862,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,105,110
NGC3741,All65,smart,21,0.10843570051124576,0.7,0.7050299929504883,0.6621979593896541,40.964495033541894,1.0,6.563476031071775,64.14623537246351,4,4,18.741565781965466,76.3243251233572,57.582759341391736,ISUT,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,90,60
NGC3769,All65,smart,12,0.328841831565527,0.7,-0.08403595141753667,-0.08542494499333533,112.58111414560933,1.617552760335898,8.37723859452738,4.261983883548977,4,4,18.316865193679384,14.201610482700978,-4.115254710978405,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,95,120
NGC3877,All65,smart,13,0.39047599252255644,0.7,-0.16893849876195594,-0.17325068790292725,181.20557072519384,1.7804668335292004,88.21988635213918,36.33405330181064,4,4,98.47968378198533,46.59385073165679,-51.88583305032854,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,85,165
NGC3893,All65,smart,10,0.4453331363724039,0.7,0.41042836083925516,0.3967817069019741,164.49281874359377,3.1069078113885444,8.298033553022842,3.7223811533024476,4,4,17.508373924999027,12.93272152527863,-4.575652399720397,DM,True,True,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,110,140
NGC3917,All65,smart,17,0.6166613714630259,0.7,-0.514798627301848,-0.5479798077772045,10.0,1.0,46.31457067275646,83.56442853237165,4,4,57.64742404898132,94.89728190859651,37.24985785961519,ISUT,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,130,75
NGC3949,All65,smart,7,0.3937400604610595,0.7,0.05465819068972896,0.054579012562903644,149.68670198149542,2.931098605755699,2.151395700610582,0.5789188111001249,4,4,9.935036296831836,8.362559407321378,-1.5724768895104582,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,60,160
NGC3953,All65,smart,8,0.5709863131809313,0.7,-0.4975508674474219,-0.528592833096955,170.8086093314995,2.5531768645986865,17.40887245854418,1.3556205587903793,4,4,25.726638625263526,9.673386725509722,-16.053251899753803,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,105,185
NGC3972,All65,smart,10,0.5322323340026881,0.7,0.14458012239300302,0.14354300593687608,145.075474054155,1.0,12.595234178224263,11.026959385858147,4,4,21.805574550200447,20.23729975783433,-1.5682747923661182,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL,110,95
NGC3992,All65,smart,9,0.8871350030289196,0.7,-1.0077674458852335,-1.135608773662827,213.21995707107214,1.9631983083772548,19.84220927743057,2.870285523493849,4,4,28.63110758677545,11.659183832838728,-16.97192375393672,DM,True,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,115,135
