r,gN,a0,y_gN_over_a0,nu_simple,alpha_sqrt_nu,gA_gN_times_nu,gB_gN_times_alpha2,abs_err,rel_err
0.1,99999.99999999999,0.5,199999.99999999997,1.0000049999750003,1.000002499984375,100000.49999750001,100000.4999975,1.4551915228366852e-11,1.45518424695183e-16
0.12496248124062032,64038.436513822744,0.5,128076.87302764549,1.000007807749898,1.000003903867329,64038.9365099189,64038.936509918916,1.4551915228366852e-11,2.272354292784504e-16
0.14992496248124063,44488.94451118897,0.5,88977.88902237795,1.000011238620881,1.0000056192946523,44489.44450556973,44489.44450556973,0.0,0.0
0.17488744372186094,32695.105291958378,0.5,65390.210583916756,1.000015292575123,1.0000076462583287,32695.605284312205,32695.605284312198,7.275957614183426e-12,2.2253625681230404e-16
0.19984992496248125,25037.561031389363,0.5,50075.122062778726,1.000019969597469,1.0000099847488868,25038.061021404767,25038.06102140476,7.275957614183426e-12,2.9059588951250213e-16
0.22481240620310156,19786.06593888028,0.5,39572.13187776056,1.0000252696704353,1.000012634755399,19786.565926245767,19786.565926245763,3.637978807091713e-12,1.838610510106829e-16
0.24977488744372187,16028.853372891484,0.5,32057.70674578297,1.0000311927742096,1.000015596265483,16029.353357295584,16029.353357295584,0.0,0.0
0.2747373686843422,13248.43352895213,0.5,26496.86705790426,1.0000377388866521,1.0000188692653016,13248.933510083398,13248.9335100834,1.8189894035458565e-12,1.3729326984405754e-16
0.29969984992496246,11133.377861261375,0.5,22266.75572252275,1.0000449079832956,1.0000224537395626,11133.877838808392,11133.877838808392,0.0,0.0
0.3246623311655828,9487.159337228542,0.5,18974.318674457085,1.0000527000373451,1.00002634967152,9487.659310879913,9487.659310879915,1.8189894035458565e-12,1.917216189940486e-16
0.34962481240620313,8180.794949920381,0.5,16361.589899840763,1.0000611150196794,1.0000305570429733,8181.294919364739,8181.294919364739,0.0,0.0
0.3745872936468234,7126.789258825516,0.5,14253.578517651033,1.0000701528988516,1.0000350758342686,7127.289223751527,7127.289223751526,9.094947017729282e-13,1.276073796391001e-16
0.3995497748874437,6264.093324683788,0.5,12528.186649367575,1.000079813641089,1.0000399060242993,6264.593284780152,6264.593284780154,1.8189894035458565e-12,2.9036033479860483e-16
0.424512256128064,5549.06143953727,0.5,11098.12287907454,1.0000900972102942,1.0000450475905043,5549.561394492724,5549.561394492723,9.094947017729282e-13,1.638858708141319e-16
0.4494747373686844,4949.820219131062,0.5,9899.640438262124,1.0001010035680455,1.000050500508872,4950.320168634378,4950.320168634377,9.094947017729282e-13,1.8372441999520737e-16
0.47443721860930466,4442.654066668433,0.5,8885.308133336866,1.0001125326735982,1.000056264753938,4443.154010408428,4443.154010408429,9.094947017729282e-13,2.0469574082788204e-16
0.49939969984992494,4009.622127425298,0.5,8019.244254850596,1.0001246844838847,1.0000623402987858,4010.1220650908285,4010.1220650908276,9.094947017729282e-13,2.267997549726278e-16
0.5243621810905452,3636.9495561047756,0.5,7273.899112209551,1.0001374589535152,1.0000687271150495,3637.4494873847457,3637.4494873847457,0.0,0.0
0.5493246623311656,3313.9183599166713,0.5,6627.836719833343,1.0001508560347794,1.0000754251729114,3314.418284500031,3314.418284500031,0.0,0.0
0.5742871435717859,3032.088073182872,0.5,6064.176146365744,1.0001648756776467,1.0000824344411048,3032.5879907586223,3032.5879907586223,0.0,0.0
0.5992496248124062,2784.738751813364,0.5,5569.477503626728,1.0001795178297677,1.0000897548869139,2785.2386620705597,2785.238662070559,9.094947017729282e-13,3.265410300949957e-16
0.6242121060530265,2566.4666527305085,0.5,5132.933305461017,1.0001947824364739,1.000097386476174,2566.9665553582563,2566.966555358256,4.547473508864641e-13,1.7715359397154192e-16
0.6491745872936469,2372.8865734552,0.5,4745.7731469104,1.0002106694407806,1.0001053291732729,2373.3864681426658,2373.3864681426653,4.547473508864641e-13,1.916027402154755e-16
0.6741370685342671,2200.4098664327316,0.5,4400.819732865463,1.0002271787833863,1.000113582941151,2200.909752869139,2200.909752869139,0.0,0.0
0.6990995497748874,2046.0769134763393,0.5,4092.1538269526786,1.000244310402675,1.0001221477413023,2046.5767913509749,2046.5767913509753,4.547473508864641e-13,2.221990168208049e-16
0.7240620310155077,1907.4293092841244,0.5,3814.858618568249,1.000262064234716,1.0001310235337748,1907.9291782863368,1907.9291782863368,0.0,0.0
0.749024512256128,1782.4113502927237,0.5,3564.8227005854474,1.000280440213267,1.0001402102771726,1782.9112101119292,1782.9112101119292,0.0,0.0
0.7739869934967484,1669.2933941314677,0.5,3338.5867882629354,1.0002994382697736,1.0001497079286548,1669.793244457151,1669.7932444571506,4.547473508864641e-13,2.72337519867199e-16
0.7989494747373687,1566.6117115149864,0.5,3133.2234230299728,1.0003190583333714,1.0001595164439379,1567.1115520367025,1567.111552036703,4.547473508864641e-13,2.90181863757848e-16
0.8239119559779889,1473.1208957870451,0.5,2946.2417915740903,1.0003393003308871,1.0001696357772951,1473.6207261944223,1473.6207261944223,0.0,0.0
0.8488744372186093,1387.7559207857032,0.5,2775.5118415714064,1.0003601641868403,1.0001800658815594,1388.2557407684458,1388.255740768446,2.2737367544323206e-13,1.6378370984972347e-16
0.8738369184592296,1309.6016745907816,0.5,2619.203349181563,1.0003816498234435,1.0001908067081218,1310.1014838386704,1310.1014838386704,0.0,0.0
0.8987993996998499,1237.8683319126505,0.5,2475.736663825301,1.0004037571606057,1.000201858206935,1238.3681301155473,1238.3681301155473,0.0,0.0
0.9237618809404702,1171.8713204906671,0.5,2343.7426409813343,1.0004264861159322,1.0002132203265124,1172.3711073385155,1172.371107338516,4.547473508864641e-13,3.8788686282010053e-16
0.9487243621810905,1111.0149275911635,0.5,2222.029855182327,1.000449836604727,1.0002248930139297,1111.5147027739922,1111.5147027739924,2.2737367544323206e-13,2.045620043313675e-16
0.9736868434217109,1054.778809877001,0.5,2109.557619754002,1.0004738085399936,1.0002368762148262,1055.278573084925,1055.2785730849248,2.2737367544323206e-13,2.1546317838951692e-16
0.9986493246623311,1002.7068335198859,0.5,2005.4136670397718,1.0004984018324377,1.000249169873406,1003.2065844431099,1003.2065844431099,0.0,0.0
1.0236118059029515,954.3977956339818,0.5,1908.7955912679636,1.0005236163904676,1.000261773932438,954.8975339628018,954.8975339628018,0.0,0.0
1.048574287143572,909.4976731124656,0.5,1818.9953462249312,1.000549452120197,1.0002746883332583,909.9973985372715,909.9973985372715,0.0,0.0
1.073536768384192,867.6931181269646,0.5,1735.3862362539292,1.000575908925446,1.0002879130157707,868.192830338242,868.192830338242,0.0,0.0
1.0984992496248125,828.7059762943986,0.5,1657.4119525887972,1.0006029867077433,1.0003014479184478,829.2056749827316,829.2056749827314,2.2737367544323206e-13,2.742066079660721e-16
1.1234617308654329,792.2886477968617,0.5,1584.5772955937234,1.0006306853663283,1.000315292978333,792.7883326529352,792.7883326529352,0.0,0.0
1.148424212106053,758.2201465042239,0.5,1516.4402930084477,1.0006590047981518,1.0003294481310403,758.7198172188255,758.7198172188254,1.1368683772161603e-13,1.4984034309048124e-16
1.1733866933466734,726.3027395987074,0.5,1452.6054791974148,1.0006879448978792,1.000343913310757,726.80239586273,726.8023958627301,1.1368683772161603e-13,1.564205599331677e-16
1.1983491745872938,696.3590719937249,0.5,1392.7181439874498,1.0007175055578914,1.0003586884502436,696.8587134981685,696.8587134981685,0.0,0.0
1.223311655827914,668.2296972320227,0.5,1336.4593944640453,1.0007476866682883,1.0003737734808367,668.7293236679974,668.7293236679974,0.0,0.0
1.2482741370685344,641.7709504986273,0.5,1283.5419009972545,1.000778488116889,1.000389168332449,642.270561557355,642.270561557355,0.0,0.0
1.2732366183091546,616.8531106270638,0.5,1233.7062212541275,1.000809909789235,1.0004048729335713,617.3527059998806,617.3527059998806,0.0,0.0
