r_kpc,r_m,Mbar_msun,a0_m_s2,gN_m_s2,y_gN_over_a0,nu_simple,alpha_sqrt_nu,a_mond_m_s2,a_clock_m_s2,v_newton_km_s,v_mond_km_s,v_clock_km_s
0.1,3.085677581e+18,50000000000.0,1.2e-10,6.969372556101325e-07,5807.810463417771,1.0001721522910636,1.0000860724412992,6.970572349554134e-07,6.970572349554134e-07,1466.46638727243,1466.5926096144656,1466.5926096144656
0.16245306633291615,5.012777847481852e+18,50000000000.0,1.2e-10,2.6408142485343355e-07,2200.6785404452794,1.0004541990067273,1.000227073722126,2.642013703742971e-07,2.64201370374297e-07,1150.5570461462287,1150.8183074172155,1150.8183074172152
0.2249061326658323,6.939878113963704e+18,50000000000.0,1.2e-10,1.3778155607728216e-07,1148.1796339773514,1.0008701866331422,1.0004349987046346,1.3790145174567413e-07,1.3790145174567413e-07,977.8482528125687,978.2736155358713,978.2736155358713
0.2873591989987484,8.866978380445556e+18,50000000000.0,1.2e-10,8.440019927831701e-08,703.3349939859751,1.0014197818104469,1.0007096391113892,8.452002914605045e-08,8.452002914605045e-08,865.0865519161267,865.7004511681033,865.7004511681033
0.34981226533166454,1.0794078646927407e+19,50000000000.0,1.2e-10,5.695391923589139e-08,474.61599363242823,1.0021025458033619,1.0010507208944819,5.7073667459765826e-08,5.7073667459765826e-08,784.0695654614859,784.8934037366437,784.8934037366437
0.4122653316645807,1.272117891340926e+19,50000000000.0,1.2e-10,4.1005305309276455e-08,341.7108775773038,1.0029179362401601,1.0014579053760373,4.1124956175677226e-08,4.1124956175677226e-08,722.2436051902962,723.2965680251117,723.2965680251117
0.4747183979974968,1.4648279179891112e+19,50000000000.0,1.2e-10,3.092584351992326e-08,257.71536266602715,1.0038653092448118,1.0019307906461463,3.104538146878442e-08,3.1045381468784426e-08,673.0604651541065,674.360004004517,674.360004004517
0.537171464330413,1.6575379446372964e+19,50000000000.0,1.2e-10,2.415281822782434e-08,201.2734852318695,1.0049439219429634,1.0024689132052742,2.427222787584529e-08,2.4272227875845293e-08,632.7259492272004,634.2880946785672,634.2880946785672
0.5996245306633291,1.8502479712854815e+19,50000000000.0,1.2e-10,1.9383620471102846e-08,161.53017059252372,1.0061529353193328,1.0030717498361386,1.9502886634116038e-08,1.950288663411604e-08,598.8698059914673,600.7093842198899,600.70938421989
0.6620775969962452,2.0429579979336667e+19,50000000000.0,1.2e-10,1.5899222805763428e-08,132.4935233813619,1.0074914174013938,1.0037387196882432,1.6018330520159162e-08,1.6018330520159162e-08,569.9249458653635,572.0557354812913,572.0557354812913
0.7245306633291614,2.235668024581852e+19,50000000000.0,1.2e-10,1.3276394244371062e-08,110.63661870309218,1.0089583467418906,1.004469186556706,1.3395328787494178e-08,1.3395328787494178e-08,544.8083157761353,547.2431657769837,547.2431657769837
0.7869837296620775,2.428378051230037e+19,50000000000.0,1.2e-10,1.125284076678336e-08,93.773673056528,1.010552616170816,1.0052624613357528,1.1371587676226536e-08,1.1371587676226533e-08,522.7442159607631,525.4951371857451,525.495137185745
0.8494367959949937,2.6210880778782224e+19,50000000000.0,1.2e-10,9.658986100620742e-09,80.49155083850619,1.0122730367860038,1.0061178046262793,9.77753119234916e-09,9.777531192349163e-09,503.1605440883505,506.23878199273537,506.2387819927355
0.9118898623279098,2.8137981045264077e+19,50000000000.0,1.2e-10,8.381252132279684e-09,69.84376776899737,1.014118342150431,1.0070344294761877,8.499581517532238e-09,8.499581517532238e-09,485.624869249573,489.04096314419206,489.04096314419206
0.974342928660826,3.006508131174593e+19,50000000000.0,1.2e-10,7.3412498620193616e-09,61.17708218349468,1.0160871926637247,1.008011504231834,7.45934996294221e-09,7.45934996294221e-09,469.8034419110355,473.56727417403596,473.56727417403596
1.0367959949937422,3.1992181578227786e+19,50000000000.0,1.2e-10,6.483463333044092e-09,54.02886110870077,1.0181781800751604,1.009048155478796,6.6013208970228665e-09,6.6013208970228665e-09,455.4340086187334,459.55484633904695,459.55484633904695
1.0992490613266583,3.391928184470964e+19,50000000000.0,1.2e-10,5.767684209368165e-09,48.06403507806804,1.0203898321056526,1.0101434710503516,5.885286322035605e-09,5.885286322035605e-09,442.3072532627518,446.79378408158306,446.79378408158306
1.1617021276595745,3.584638211119149e+19,50000000000.0,1.2e-10,5.1642125804813656e-09,43.03510483734471,1.0227206171468244,1.011296503082466,5.281546677387297e-09,5.281546677387297e-09,430.2538058673709,435.11416931159437,435.11416931159437
1.2241551939924906,3.777348237767334e+19,50000000000.0,1.2e-10,4.6507256584967264e-09,38.75604715413939,1.025168949006154,1.0125062710947295,4.767779535437042e-09,4.767779535437041e-09,419.13494689016255,424.3767621612459,424.3767621612459
1.2866082603254068,3.9700582644155195e+19,50000000000.0,1.2e-10,4.21018335741991e-09,35.08486131183258,1.0277331916684447,1.0137717650775468,4.326945179430532e-09,4.326945179430533e-09,408.83582564190226,414.4662165879274,414.4662165879275
1.349061326658323,4.162768291063705e+19,50000000000.0,1.2e-10,3.829396144084546e-09,31.91163453403788,1.0304116640453547,1.0150919485669043,3.945854453115022e-09,3.945854453115022e-09,399.2604268208504,405.28604464723094,405.28604464723094
1.411514392991239,4.35547831771189e+19,50000000000.0,1.2e-10,3.498026208040703e-09,29.15021840033919,1.0332026446864497,1.0164657616892216,3.6141699293301674e-09,3.6141699293301666e-09,390.327776412456,396.75482055954734,396.7548205595473
1.4739674593241552,4.548188344360075e+19,50000000000.0,1.2e-10,3.207878341820321e-09,26.73231951516934,1.036104376427156,1.0178921241600978,3.323696789005923e-09,3.323696789005922e-09,381.9690417349594,388.80327925499483,388.8032792549948
1.5364205256570713,4.7408983710082605e+19,50000000000.0,1.2e-10,2.9523883297837967e-09,24.60323608153164,1.0391150709510348,1.0193699382221524,3.067871208778297e-09,3.067871208778297e-09,374.12528681253025,381.372070505434,381.372070505434
1.5988735919899875,4.933608397656445e+19,50000000000.0,1.2e-10,2.7262483885632446e-09,22.71873657136037,1.042232913245952,1.0208980915086245,2.8413858002443526e-09,2.8413858002443526e-09,366.7457149567391,374.410000468301,374.410000468301
1.6613266583229036,5.12631842430463e+19,50000000000.0,1.2e-10,2.525129251635601e-09,21.042743763630007,1.0454560659359364,1.022475459820888,2.6399116933947105e-09,2.6399116933947105e-09,359.78627831547635,367.8726403578627,367.8726403578627
1.7237797246558197,5.3190284509528154e+19,50000000000.0,1.2e-10,2.3454714155058672e-09,19.54559512921556,1.0487826734727408,1.0241009098095464,2.459889781708137e-09,2.4598897817081364e-09,353.20856713806194,361.72121495861546,361.7212149586154
1.7862327909887359,5.511738477601001e+19,50000000000.0,1.2e-10,2.1843265544110616e-09,18.202721286758848,1.0522108661733602,1.0257733015502792,2.2983721358223345e-09,2.298372135822334e-09,346.97891459846755,355.92170679600247,355.9217067960024
1.848685857321652,5.704448504249186e+19,50000000000.0,1.2e-10,2.039235783042524e-09,16.993631525354367,1.055738764091943,1.0274914910070754,2.1529002652813797e-09,2.1529002652813797e-09,341.0676694204296,350.4441281871055,350.4441281871055
1.9111389236545682,5.897158530897371e+19,50000000000.0,1.2e-10,1.90813529753571e-09,15.90112747946425,1.0593644807166531,1.029254332376917,2.021410758611034e-09,2.021410758611034e-09,335.44860035434795,345.26192520448564,345.26192520448564
1.9735919899874843,6.089868557545556e+19,50000000000.0,1.2e-10,1.7892825774357614e-09,14.910688145298012,1.0630861264840803,1.0310606803113385,1.902161484431635e-09,1.9021614844316346e-09,330.09840515958444,340.35148619352896,340.3514861935289
2.0360450563204004,6.282578584193742e+19,50000000000.0,1.2e-10,1.6811981832836242e-09,14.00998486069687,1.0669018121057152,1.032909392011572,1.793673388254135e-09,1.793673388254135e-09,324.9963030879447,335.6917338285776,335.6917338285776
2.0984981226533166,6.475288610841927e+19,50000000000.0,1.2e-10,1.5826194938382347e-09,13.18849578198529,1.0708096517028296,1.034799329195197,1.6946842289750285e-09,1.6946842289750285e-09,320.1236945892499,331.2637844204439,331.2637844204439
2.1609511889862327,6.667998637490112e+19,50000000000.0,1.2e-10,1.4924636636194026e-09,12.437197196828356,1.0748077657477593,1.0367293599333238,1.6041115357544854e-09,1.6041115357544854e-09,315.46387551536986,327.05066174513513,327.05066174513513
2.223404255319149,6.860708664138297e+19,50000000000.0,1.2e-10,1.409797758881695e-09,11.748314657347459,1.0788942838111462,1.0386983603583604,1.5210227433872252e-09,1.5210227433872256e-09,311.0017957993555,323.03705536529606,323.0370553652961
2.285857321652065,7.0534186907864826e+19,50000000000.0,1.2e-10,1.3338145251080118e-09,11.115121042566765,1.0830673471160708,1.0407052162433275,1.444610959253616e-09,1.4446109592536163e-09,306.72385465495415,319.209115485671,319.209115485671
2.348310387984981,7.246128717434668e+19,50000000000.0,1.2e-10,1.2638126042733538e-09,10.531771702277949,1.0873251109012696,1.0427488244545133,1.3741751800999467e-09,1.3741751800999465e-09,302.6177259395266,315.5542779825395,315.5542779825394
2.4107634543178973,7.438838744082853e+19,50000000000.0,1.2e-10,1.199180291966709e-09,9.993169099722575,1.091665746596732,1.0448280942799788,1.3091040487339246e-09,1.3091040487339248e-09,298.67220856689266,312.0611144913388,312.06111449133886
2.4732165206508134,7.631548770731037e+19,50000000000.0,1.2e-10,1.1393821285529129e-09,9.494851071274274,1.0960874438159318,1.0469419486370444,1.2488624448151177e-09,1.2488624448151175e-09,294.87709783146767,308.71920341211313,308.71920341211313
2.5356695869837296,7.824258797379224e+19,50000000000.0,1.2e-10,1.0839477730246293e-09,9.032898108538577,1.100588412169781,1.0490893251624387,1.192980358388147e-09,1.192980358388147e-09,291.2230742744739,305.5190184623386,305.5190184623386
2.5981226533166457,8.016968824027408e+19,50000000000.0,1.2e-10,1.0324627259947732e-09,8.603856049956443,1.1051668829080863,1.0512691771892138,1.1410436126064291e-09,1.1410436126064293e-09,287.7016073342387,302.4518320182794,302.4518320182794
2.660575719649562,8.209678850675594e+19,50000000000.0,1.2e-10,9.845605587640885e-10,8.204671323034072,1.1098211103948628,1.0534804746149131,1.0926860925785472e-09,1.092686092578547e-09,284.3048715111101,299.5096309748562,299.5096309748561
2.723028785982478,8.402388877323778e+19,50000000000.0,1.2e-10,9.399163753765302e-10,7.832636461471085,1.1145493734243175,1.0557222046657526,1.0475832072471674e-09,1.0475832072471672e-09,281.0256731702326,296.6850432469552,296.6850432469552
2.785481852315394,8.595098903971965e+19,50000000000.0,1.2e-10,8.982412890451262e-10,7.485344075376052,1.119349976384663,1.0579933725617865,1.0054463656803913e-09,1.0054463656803913e-09,277.85738642285776,293.9712733527228,293.9712733527228
