R_kpc,Vobs_kms,Verr_kms,Vbary_kms,Vpred_kms,gN_code,y,nu,beta,a0_code
3.23,194.0,16.7,209.71446576237892,209.7455899005544,13616.147724458204,3.677244935205805,1.0002968459773125,4.999994582561633,3702.8122859311643
9.18,172.0,8.1,159.97319844273915,175.97287001494277,2787.7368431372547,0.7528701505418628,1.2100323418926915,4.999994582561633,3702.8122859311643
10.64,170.0,10.7,152.98616058323708,176.63819337309636,2199.695989661654,0.5940608974479746,1.3331067805289285,4.999994582561633,3702.8122859311643
11.58,170.0,6.8,150.1949963547388,178.1329756758764,1948.060183937824,0.5261028735751685,1.4066230058095512,4.999994582561633,3702.8122859311643
12.52,171.0,6.8,148.78271243662687,180.39823637933173,1768.0747220447288,0.4774950998090097,1.4701431709461223,4.999994582561633,3702.8122859311643
13.57,172.0,12.1,149.58213018271934,184.32874660278873,1648.8440434782606,0.4452950666019565,1.5185416658781543,4.999994582561633,3702.8122859311643
15.76,174.0,19.6,147.20163867973753,189.36780111787363,1374.8935552030457,0.3713106279859106,1.6549580252954794,4.999994582561633,3702.8122859311643
24.94,193.0,23.2,121.06070336818632,191.9021715434819,587.6380874097835,0.15870048007632317,2.512773785695944,4.999994582561633,3702.8122859311643
26.3,194.0,23.0,118.11587543594638,192.0644508661879,530.4699631178707,0.14326137058942778,2.644097292823595,4.999994582561633,3702.8122859311643
34.96,201.0,7.2,105.90952473691871,195.22916546521145,320.84746653318064,0.08664967104928344,3.397968568750899,4.999994582561633,3702.8122859311643
36.84,202.0,17.1,103.92799324532346,195.93905556799555,293.1875076004343,0.07917968424011129,3.554487061682018,4.999994582561633,3702.8122859311643
47.38,205.0,16.0,100.1544299070191,204.82690625805918,211.71190016884762,0.05717597431909984,4.1824781837608995,4.999994582561633,3702.8122859311643
64.59,204.0,16.0,94.1589695674289,214.5924393917142,137.26446121690665,0.0370703267185439,5.194041784015601,4.999994582561633,3702.8122859311643
