R_kpc,Vobs_kms,Verr_kms,Vbary_kms,Vpred_kms,gN_code,y,nu,beta,a0_code
0.87,20.9,4.7,14.208317986306474,28.39936149832426,232.04172413793108,0.06266634822931036,3.9951382778092435,4.999996114606901,3702.8122859311643
1.74,36.4,3.9,24.897954735278958,44.711106665873004,356.26905172413785,0.0962158014538793,3.2248052542736763,4.999996114606901,3702.8122859311643
2.61,43.4,3.9,32.28693466404019,56.34961038307761,399.4046551724138,0.10786521819913795,3.045988121616304,4.999996114606901,3702.8122859311643
3.5,51.2,4.7,35.7813932093204,63.833129066967544,365.80231428571426,0.09879040200757143,3.18256860710335,4.999996114606901,3702.8122859311643
4.37,59.7,3.9,38.23424315976452,69.74852966393559,334.5211327231121,0.09034244970886728,3.327860540073149,4.999996114606901,3702.8122859311643
5.24,64.5,4.4,40.229815435818246,74.866279119167,308.86222328244276,0.0834128763307729,3.463190790125715,4.999996114606901,3702.8122859311643
6.11,67.9,3.9,41.106411908606184,78.63791082663235,276.5527168576105,0.07468720947815059,3.6596941732399557,4.999996114606901,3702.8122859311643
6.55,72.8,7.3,41.418376356395235,80.31972388892272,261.9056335877862,0.0707315449348855,3.7606098004256334,4.999996114606901,3702.8122859311643
6.98,70.3,6.1,41.70235664803609,81.88532467227047,249.15280085959878,0.06728745116414755,3.855590969111427,4.999996114606901,3702.8122859311643
7.85,73.7,6.1,42.06218491709626,84.68703135120403,225.37928662420387,0.06086705704216563,4.053686529543807,4.999996114606901,3702.8122859311643
8.72,77.6,6.1,42.013143181628294,86.89069324902758,202.42020642201834,0.05466661304736239,4.277363666856952,4.999996114606901,3702.8122859311643
9.16,79.1,7.3,41.61832529066974,87.55187475261863,189.09224890829697,0.05106719820141922,4.425493421337993,4.999996114606901,3702.8122859311643
