R_kpc,Vobs_kms,Verr_kms,Vbary_kms,Vpred_kms,gN_code,y,nu,beta,a0_code
0.32,24.4,35.9,44.74571711348473,51.049736406191215,6256.81,1.6897453926500003,1.3016195489103095,1.2244624253242333,3702.8122859311643
0.64,43.3,16.3,52.08548550220109,62.25327543306251,4238.9028124999995,1.1447792880578125,1.428535310893298,1.2244624253242333,3702.8122859311643
0.96,45.5,16.1,55.84729357811353,69.24569121460524,3248.875208333334,0.8774074831385419,1.5373800688419212,1.2244624253242333,3702.8122859311643
1.28,58.5,15.4,58.47877820201103,74.67202992479932,2671.6933593750005,0.7215308670996096,1.6304944862743225,1.2244624253242333,3702.8122859311643
1.61,68.8,7.61,59.55272202007227,78.42687277278064,2202.8116149068323,0.5949023187798137,1.7343093378989423,1.2244624253242333,3702.8122859311643
1.93,76.9,10.3,58.810092246144286,80.20054671495201,1792.0346891191712,0.48396584831696904,1.8597344513773595,1.2244624253242333,3702.8122859311643
2.24,82.0,8.09,61.54836878423343,84.79011778823349,1691.1614732142857,0.45672352326361615,1.8978303279211635,1.2244624253242333,3702.8122859311643
2.57,86.9,7.6,62.876041144461375,88.09250917509596,1538.2865953307394,0.4154373693679962,1.9629425165467818,1.2244624253242333,3702.8122859311643
2.89,97.6,3.03,62.93460971516388,90.04922470940303,1370.506955017301,0.3701259608067474,2.04729709185848,1.2244624253242333,3702.8122859311643
3.21,100.0,5.31,66.34348234755242,94.91830942939241,1371.1706074766357,0.3703051901081777,2.0469322168609034,1.2244624253242333,3702.8122859311643
3.54,107.0,7.51,71.57441093016415,101.39469031381591,1447.1458474576275,0.3908234432936442,2.0068497626693387,1.2244624253242333,3702.8122859311643
3.85,113.0,7.32,76.74314334192991,107.62855030082667,1529.7428701298702,0.41313000822162343,1.9668707144591047,1.2244624253242333,3702.8122859311643
4.17,117.0,5.21,81.69204643048184,113.64574270246274,1600.381402877698,0.4322070035681656,1.9352932924426554,1.2244624253242333,3702.8122859311643
4.5,119.0,5.67,85.26872199112638,118.42048617253407,1615.7233222222224,0.4363503190159445,1.928742151506472,1.2244624253242333,3702.8122859311643
4.82,127.0,5.39,88.80610958712244,123.05672309479586,1636.208526970954,0.44188265583641073,1.920105104189584,1.2244624253242333,3702.8122859311643
5.15,132.0,4.34,91.69743944080446,127.11143268374659,1632.7029902912623,0.44093593307300977,1.9215638075035633,1.2244624253242333,3702.8122859311643
5.46,134.0,2.36,94.42312666926468,130.88672818896598,1632.917005494506,0.4409937310888738,1.921473807378055,1.2244624253242333,3702.8122859311643
5.78,137.0,0.89,96.84191938411794,134.39222236069338,1622.553174740484,0.4381948231362889,1.9258457272419949,1.2244624253242333,3702.8122859311643
6.1,140.0,2.84,99.03062985763546,137.65448804538426,1607.715680327869,0.434187735207746,1.932153689522496,1.2244624253242333,3702.8122859311643
6.43,142.0,0.88,100.8626955320945,140.60274621340074,1582.1591524105752,0.42728581149576206,1.943240108686246,1.2244624253242333,3702.8122859311643
6.74,144.0,1.23,101.32139014048316,142.20868660866748,1523.1489762611275,0.4113492282739614,1.96992626843358,1.2244624253242333,3702.8122859311643
7.06,146.0,1.57,100.48720664840873,142.6586360884912,1430.266104815864,0.38626481559709636,2.0154618754732767,1.2244624253242333,3702.8122859311643
8.04,147.0,3.0,97.33017671822034,143.25842587281554,1178.2541417910452,0.3182052048027987,2.1664333162669096,1.2244624253242333,3702.8122859311643
9.04,148.0,3.0,94.62670315508197,144.01770672755862,990.510282079646,0.2675021593298396,2.3163509698599563,1.2244624253242333,3702.8122859311643
10.04,152.0,2.0,93.62450213485782,146.0894577345148,873.0624900398403,0.2357836213726095,2.434774314398733,1.2244624253242333,3702.8122859311643
11.04,155.0,2.0,93.57334476227726,148.85389700374833,793.113301630435,0.21419214380482346,2.5305569231312037,1.2244624253242333,3702.8122859311643
12.05,156.0,2.0,93.36279933678082,151.32721899946813,723.3703153526973,0.19535700421572622,2.6271590868063486,1.2244624253242333,3702.8122859311643
14.05,157.0,2.0,90.36059760758558,153.27010171303053,581.1414661921708,0.15694597006718863,2.8771115615098606,1.2244624253242333,3702.8122859311643
16.07,153.0,2.0,84.75216280426123,152.03335615699064,446.97754200373373,0.12071298988123837,3.217926985296062,1.2244624253242333,3702.8122859311643
18.13,153.0,2.0,80.84814530958641,151.99291067644208,360.5307556536128,0.09736673852559295,3.534325472758891,1.2244624253242333,3702.8122859311643
20.05,154.0,2.0,78.94877389801567,153.37380457778346,310.8682743142145,0.08395464050266835,3.7740843493900753,1.2244624253242333,3702.8122859311643
22.12,153.0,2.0,76.59022914184288,154.18431626447475,265.1927305605786,0.07161927477884267,4.052599259746056,1.2244624253242333,3702.8122859311643
24.03,150.0,2.0,74.3763628446565,154.59804140927787,230.20571577195167,0.06217050662995213,4.320540712271761,1.2244624253242333,3702.8122859311643
26.1,149.0,2.0,72.99129091884866,155.9378799057357,204.12753065134095,0.055127701565354396,4.56416316283525,1.2244624253242333,3702.8122859311643
28.16,148.0,2.0,72.02298174888347,157.5385900496898,184.20844815340914,0.049748254550550444,4.784446627112873,1.2244624253242333,3702.8122859311643
30.08,146.0,2.0,70.31718531056259,157.9047913181699,164.3785422207447,0.04439289100484542,5.042752571787935,1.2244624253242333,3702.8122859311643
32.14,147.0,2.0,68.33622794682188,157.91492405694416,145.29682794026135,0.03923958783768668,5.3400379826521975,1.2244624253242333,3702.8122859311643
34.06,148.0,2.0,67.2461905984272,158.70029282337524,132.767179976512,0.03585576846035672,5.569549674769761,1.2244624253242333,3702.8122859311643
36.12,148.0,2.0,66.79193214752813,160.3177677821223,123.50947397563682,0.033355586089230366,5.761231157800647,1.2244624253242333,3702.8122859311643
38.19,149.0,2.0,66.35266799458783,161.86136814249676,115.28349175176749,0.03113403619994109,5.950721612052301,1.2244624253242333,3702.8122859311643
40.1,150.0,2.0,66.0035089976283,163.27569961352557,108.6399800498753,0.029339856212169578,6.119403024978205,1.2244624253242333,3702.8122859311643
42.17,150.0,3.0,66.21895423517348,165.50992722032856,103.9826867441309,0.028082084295553714,6.247171947957366,1.2244624253242333,3702.8122859311643
44.08,149.0,3.0,64.71316751635636,165.23583059281995,95.0044022232305,0.025657363886416748,6.519632862962565,1.2244624253242333,3702.8122859311643
