R_kpc,Vobs_kms,Verr_kms,Vbary_kms,Vpred_kms,gN_code,y,nu,beta,a0_code
1.25,47.0,7.6,40.343062600650434,52.5822049890726,1302.0501599999998,0.35163817646039996,1.698790640454498,4.999993668837265,3702.8122859311643
2.08,59.5,4.5,46.1016632021015,63.735175749968285,1021.8093028846149,0.27595492938353355,1.9112838413626294,4.999993668837265,3702.8122859311643
2.9,71.6,3.7,54.06117044607895,74.99198952419353,1007.7966034482758,0.27217058971025865,1.9242383363366997,4.999993668837265,3702.8122859311643
3.73,77.6,3.1,56.89191199107304,81.87784485545639,867.7452144772119,0.23434761134778825,2.071246305055594,4.999993668837265,3702.8122859311643
4.56,83.4,3.6,58.77663183613024,87.47641850098199,757.6079934210525,0.20460340274325656,2.214994215696088,4.999993668837265,3702.8122859311643
5.39,89.7,3.8,59.349251469584686,91.62723920966299,653.4941836734695,0.17648590671377556,2.3835195070702064,4.999993668837265,3702.8122859311643
6.22,93.8,2.4,56.21153440353679,92.39485450627993,507.99623794212226,0.13719200399983927,2.7017470820943226,4.999993668837265,3702.8122859311643
7.04,99.0,3.0,54.5252537820779,93.84764650657473,422.30160511363636,0.11404888298501421,2.9624523978237796,4.999993668837265,3702.8122859311643
7.87,103.0,2.5,53.90104034246463,95.9393871332745,369.1641867852605,0.09969832610416138,3.1681051285511717,4.999993668837265,3702.8122859311643
8.7,100.0,2.3,52.76523476684246,97.32786804001965,320.01954022988514,0.08642607713218393,3.4023475208825174,4.999993668837265,3702.8122859311643
9.54,98.3,2.0,51.38749020919391,98.28386734399798,276.80022536687636,0.07475405286370547,3.6580501914984827,4.999993668837265,3702.8122859311643
10.34,98.4,1.7,49.749397483788684,98.66956954426941,239.3619487427466,0.06464328468720987,3.933605625598817,4.999993668837265,3702.8122859311643
11.21,94.5,1.8,48.82631565047684,99.74291512904895,212.6680731489741,0.057434203174977695,4.173075144067472,4.999993668837265,3702.8122859311643
11.98,94.9,2.4,48.36844580922567,100.9355135765356,195.2843530884808,0.05273946881684057,4.354755023429621,4.999993668837265,3702.8122859311643
12.85,95.3,1.6,47.83218633932595,102.14846632767583,178.04809727626463,0.04808455939091441,4.560613162301124,4.999993668837265,3702.8122859311643
13.72,96.9,1.8,47.25644241793917,103.20757794173403,162.76759110787174,0.04395782949254739,4.7698104960011705,4.999993668837265,3702.8122859311643
14.49,97.2,1.3,46.64079062365903,103.94262941038997,150.1285955831608,0.040544479166166325,4.9665589009512665,4.999993668837265,3702.8122859311643
15.36,100.0,1.8,45.94327861613709,104.6769259511533,137.42088867187502,0.03711257229916993,5.19108275132031,4.999993668837265,3702.8122859311643
16.13,104.0,2.7,45.138309117644184,105.03152068340259,126.31537197768135,0.034113360933152516,5.414380015866282,4.999993668837265,3702.8122859311643
17.0,104.0,3.2,45.033219405234625,106.29657633126676,119.29357941176472,0.03221702052383824,5.571505482753446,4.999993668837265,3702.8122859311643
17.78,105.0,3.4,43.66446667486047,105.84858405736058,107.23203880764908,0.02895962056058775,5.876432955922083,4.999993668837265,3702.8122859311643
18.65,109.0,3.9,42.64517205968338,105.86270369914745,97.5126380697051,0.02633475060029491,6.1623480135102495,4.999993668837265,3702.8122859311643
19.52,110.0,3.8,40.86297346008976,104.81417472679846,85.54214139344263,0.023101938415420086,6.579306326260577,4.999993668837265,3702.8122859311643
20.29,107.0,3.8,40.11406424185911,104.85906288554192,79.30695662888121,0.021418033241978808,6.833113160131115,4.999993668837265,3702.8122859311643
21.16,106.0,3.8,39.41486077610829,105.0380115276266,73.41830103969754,0.019827713470285918,7.101874433280835,4.999993668837265,3702.8122859311643
21.93,106.0,4.0,38.27465088018439,104.43646699724849,66.80113543091653,0.018040648640150474,7.445294261709318,4.999993668837265,3702.8122859311643
22.8,108.0,3.4,37.270671445521344,104.06484733147323,60.925567982456144,0.016453863517182022,7.796033008297068,4.999993668837265,3702.8122859311643
23.67,109.0,3.2,35.92896742184501,103.13570301755887,54.53699619771862,0.014728533878136881,8.240026236865834,4.999993668837265,3702.8122859311643
24.44,110.0,3.3,36.065047483678704,104.16110171874395,53.21962561374794,0.014372758191376837,8.341383968136029,4.999993668837265,3702.8122859311643
25.31,110.0,2.7,35.47088594890182,104.20679287630718,49.7109344132754,0.013425183502321223,8.63073909638841,4.999993668837265,3702.8122859311643
26.08,110.0,2.4,34.78453391954534,103.96972550064008,46.39431748466259,0.012529481351495403,8.933906800086456,4.999993668837265,3702.8122859311643
26.95,113.0,2.5,35.67394217072175,106.15764369789662,47.221897959183664,0.012752981872346938,8.855239926140026,4.999993668837265,3702.8122859311643
27.73,114.0,2.2,38.50696560364111,111.08205228776232,53.47228272628921,0.014440992034475297,8.321645208278929,4.999993668837265,3702.8122859311643
28.6,112.0,1.7,39.086715134428985,112.782839657926,53.41857692307692,0.01442648797673077,8.325833140932447,4.999993668837265,3702.8122859311643
29.47,113.0,1.8,41.245499754518676,116.72594345665874,57.726204614862574,0.015589827449312864,8.009061812331266,4.999993668837265,3702.8122859311643
30.24,115.0,1.6,43.51191733307095,120.66654860996194,62.60869543650794,0.01690841733306052,7.690548943698317,4.999993668837265,3702.8122859311643
