R_kpc,Vobs_kms,Verr_kms,Vbary_kms,Vpred_kms,gN_code,y,nu,beta,a0_code
1.74,59.2,3.5,39.7747564417433,65.984822661261,909.2133620689657,0.24554670662715525,2.7521560156527025,0.8665775879910538,3702.8122859311643
2.61,71.2,4.0,41.782939700313094,73.44038993282673,668.8942720306513,0.18064493157595787,3.08938450431513,0.8665775879910538,3702.8122859311643
3.5,84.5,4.4,44.10940035865371,80.36647656119756,555.8969142857143,0.15012830015657144,3.3196137057998816,0.8665775879910538,3702.8122859311643
4.37,93.5,4.5,47.3885223445509,87.68924023814591,513.8837643020595,0.13878201880623572,3.4240987474298694,0.8665775879910538,3702.8122859311643
5.24,97.5,3.5,48.91261902617769,92.6678959723212,456.5733396946564,0.1233044789846374,3.5893579398847226,0.8665775879910538,3702.8122859311643
6.11,100.0,3.5,50.04471100925651,96.89631423041428,409.89739770867425,0.11069894071219312,3.7488506909653716,0.8665775879910538,3702.8122859311643
6.98,101.0,4.0,51.74254100834245,101.5457491779282,383.56598137535815,0.10358774676013612,3.8514830510669475,0.8665775879910538,3702.8122859311643
7.85,103.0,3.5,52.36344049047961,104.75409616218678,349.2904331210191,0.09433112082082802,4.002079215357285,0.8665775879910538,3702.8122859311643
8.72,105.0,4.0,52.590029948650916,107.32594951514675,317.1687213302752,0.08565617072606078,4.1648814348670085,0.8665775879910538,3702.8122859311643
9.6,110.0,4.9,53.98378275000743,111.17861727775902,303.5675833333333,0.08198297939291667,4.241465224175238,0.8665775879910538,3702.8122859311643
10.47,111.0,6.0,56.30344261233055,116.0192156019287,302.77723495702,0.08176953395866762,4.246097375213133,0.8665775879910538,3702.8122859311643
