R_kpc,Vobs_kms,Verr_kms,Vbary_kms,Vpred_kms,gN_code,y,nu,beta,a0_code
1.33,175.0,13.6,201.65818654346765,201.7489904240078,30575.95804511278,8.257496109453385,1.0009007749792858,2.8276917023327854,3702.8122859311643
2.34,237.0,3.65,224.43783611503653,224.70881877219566,21526.642,5.813592571730001,1.0024162258192983,2.8276917023327854,3702.8122859311643
3.33,247.0,3.81,230.2013408301524,230.8462494133296,15913.710906906901,4.297736336073813,1.0056108442799108,2.8276917023327854,3702.8122859311643
4.34,242.0,3.56,233.51286416384,234.76356241793326,12564.114684331795,3.3931276322240667,1.010740715613157,2.8276917023327854,3702.8122859311643
5.35,240.0,4.2,233.75770152018524,235.93679333027669,10213.581872897199,2.758330988503982,1.018730921415727,2.8276917023327854,3702.8122859311643
6.34,233.0,4.59,235.58089381356882,238.85596383575358,8753.684152996844,2.364063710779093,1.0279974759445252,2.8276917023327854,3702.8122859311643
7.34,233.0,4.63,235.76683880478188,240.47408915263554,7573.024833787467,2.0452089517368126,1.0403300324153064,2.8276917023327854,3702.8122859311643
8.32,247.0,6.41,233.5624285496278,240.13494420932906,6556.659618990384,1.7707242800026382,1.0570724663734694,2.8276917023327854,3702.8122859311643
9.34,248.0,7.64,229.92881202667922,238.92600138621475,5660.306059957172,1.5286505560823338,1.079791834305657,2.8276917023327854,3702.8122859311643
10.38,242.0,9.05,228.19731304290153,239.70684267920973,5016.764323699421,1.3548524570798843,1.1034173547737065,2.8276917023327854,3702.8122859311643
11.36,252.0,12.5,226.12240638645252,240.24853860508063,4500.9984744718295,1.2155621530082348,1.1288449958061102,2.8276917023327854,3702.8122859311643
12.34,245.0,8.72,223.64978274078425,240.61650597310143,4053.421824959481,1.0946873651576823,1.1574810000816613,2.8276917023327854,3702.8122859311643
13.32,247.0,4.44,222.94448811307268,242.48827736487948,3731.549908408409,1.007761026014317,1.1830089144226752,2.8276917023327854,3702.8122859311643
14.3,238.0,9.29,223.72404928840348,245.54513790476145,3500.171344755244,0.9452737742213251,1.2045846801028492,2.8276917023327854,3702.8122859311643
15.47,249.0,9.98,225.58832620505873,249.89165281265701,3289.5987666451188,0.8884054909140141,1.2270725904078685,2.8276917023327854,3702.8122859311643
16.35,250.0,6.15,225.5806113565614,252.04683768061267,3112.3310226299695,0.8405316776265628,1.2484149683642884,2.8276917023327854,3702.8122859311643
17.92,253.0,6.96,224.92830920095406,255.37550949556726,2823.2558191964276,0.7624625828112833,1.2890514594184925,2.8276917023327854,3702.8122859311643
19.1,258.0,15.4,224.71558828884122,258.04173789993354,2643.826995811518,0.7140051376238377,1.3186013508477104,2.8276917023327854,3702.8122859311643
22.52,254.0,6.51,218.12690613493788,261.1293682712112,2112.759643872114,0.5705824332223225,1.4331543204187747,2.8276917023327854,3702.8122859311643
26.05,256.0,7.73,204.60516239821516,258.99858303130463,1607.0354119001918,0.43400401851482534,1.6023655590773733,2.8276917023327854,3702.8122859311643
29.48,255.0,8.5,191.06992890038975,256.01023875964233,1238.3893395522387,0.33444561698617536,1.7952708749008146,2.8276917023327854,3702.8122859311643
33.0,244.0,5.75,179.96291012316956,254.22778500561571,981.413606666667,0.26504546568443343,1.9956299470485186,2.8276917023327854,3702.8122859311643
36.43,246.0,4.24,173.85578592615204,255.4029355377199,829.6962475981336,0.22407191710758997,2.158109477933739,2.8276917023327854,3702.8122859311643
