R_kpc,Vobs_kms,Verr_kms,Vbary_kms,Vpred_kms,gN_code,y,nu,beta,a0_code
1.74,54.7,8.3,37.20795882603613,56.42530046457837,795.6506896551725,0.21487740350172418,2.2997258605498683,1.8628731197103798,3702.8122859311643
3.5,85.4,7.0,42.713684575320826,71.25450290575321,521.2739571428572,0.14077785123578573,2.7828548637016364,1.8628731197103798,3702.8122859311643
5.24,93.8,6.2,47.782736422268655,83.08841622315992,435.72326335877847,0.11767360311898852,3.0237015810524865,1.8628731197103798,3702.8122859311643
6.98,98.7,5.2,52.846901044432116,93.742830968932,400.1138896848138,0.10805675761772925,3.1465676912906737,1.8628731197103798,3702.8122859311643
8.72,103.0,5.2,55.98975397338338,101.84873052901656,359.50143922018344,0.09708875618299885,3.3089798467147147,1.8628731197103798,3702.8122859311643
10.47,107.0,5.2,58.68648225954593,109.01895463886687,328.9496848137535,0.08883779662922635,3.4508642106169507,1.8628731197103798,3702.8122859311643
12.19,109.0,5.2,60.56081612726169,114.9095536981005,300.8705865463494,0.08125461495563986,3.600218319440115,1.8628731197103798,3702.8122859311643
13.94,108.0,7.4,59.94210623593402,118.01441367656524,257.7515136298422,0.06960966252844333,3.8761993823095247,1.8628731197103798,3702.8122859311643
15.68,108.0,7.4,55.92428855157659,117.11360563311044,199.45956951530616,0.05386704864115116,4.385446005921427,1.8628731197103798,3702.8122859311643
16.61,108.0,7.4,54.17421342299305,116.82908854996089,176.6914750150512,0.047718183199939805,4.6506831097183525,1.8628731197103798,3702.8122859311643
