R_kpc,Vobs_kms,Verr_kms,Vbary_kms,Vpred_kms,gN_code,y,nu,beta,a0_code
1.74,121.0,14.8,119.50104602052653,121.15943797788239,8207.183908045978,2.216473122126437,1.0279478597469507,2.983441238383738,3702.8122859311643
3.5,116.0,7.8,98.10399482182162,111.41977062188084,2749.8268000000003,0.7426319747420002,1.2898854248287868,2.983441238383738,3702.8122859311643
5.24,140.0,7.0,107.23601284083628,126.96183728001148,2194.572986641222,0.5926773536372617,1.4017323003029656,2.983441238383738,3702.8122859311643
6.98,160.0,6.6,129.4254586625058,150.64540044826128,2399.8494770773636,0.6481153490268983,1.3547910749438805,2.983441238383738,3702.8122859311643
8.72,161.0,5.2,141.35897017876155,165.9752347118787,2291.5548681192654,0.6188687654586295,1.378604963302679,2.983441238383738,3702.8122859311643
10.47,154.0,7.4,133.0262261736384,166.08998926505146,1690.1601575931231,0.4564531029603868,1.558878877831766,2.983441238383738,3702.8122859311643
12.19,153.0,9.8,125.75336397090933,166.3384013010852,1297.2853609515996,0.35035137100539376,1.7496284147539776,2.983441238383738,3702.8122859311643
