R_kpc,Vobs_kms,Verr_kms,Vbary_kms,Vpred_kms,gN_code,y,nu,beta,a0_code
0.91,33.1,3.9,22.288005742999978,42.15232047562688,545.8848351648352,0.14742438800879124,3.576848559370799,0.7566096379822458,3702.8122859311643
1.36,46.7,2.7,26.516504294495533,50.6745510234884,517.0036764705882,0.1396245978860294,3.652138839370139,0.7566096379822458,3702.8122859311643
1.82,53.9,4.7,29.72676908108246,57.502042576073066,485.53890109890114,0.13112706332527474,3.741718616519132,0.7566096379822458,3702.8122859311643
2.27,58.8,2.5,32.76510949165285,63.703170658224145,472.9305726872246,0.12772199511277532,3.780061366274092,0.7566096379822458,3702.8122859311643
2.72,65.6,2.6,34.99412022040274,68.6914075544922,450.2163419117647,0.12158767637840075,3.853138964210669,0.7566096379822458,3702.8122859311643
3.17,70.8,2.7,36.18354045695363,72.23671710054924,413.0121766561515,0.11154013348864357,3.9856015866389174,0.7566096379822458,3702.8122859311643
3.63,82.1,4.9,36.67439979058962,74.80547767877049,370.5266115702479,0.10006626935371901,4.160454445708148,0.7566096379822458,3702.8122859311643
4.08,84.1,6.6,36.975226165636904,76.94840060877684,335.09003676470587,0.0904960907788603,4.330893621946727,0.7566096379822458,3702.8122859311643
4.54,83.4,6.2,37.597553776808404,79.40854274121641,311.36036343612335,0.08408753655137666,4.460825903412549,0.7566096379822458,3702.8122859311643
4.99,81.5,2.7,37.556533386349706,80.8924365995527,282.66396793587177,0.07633764450060122,4.639218607372691,0.7566096379822458,3702.8122859311643
5.45,80.8,4.0,37.243739742405026,81.95825522380473,254.51305504587148,0.06873506821096328,4.842602727525642,0.7566096379822458,3702.8122859311643
5.9,82.8,12.4,37.36523517924114,83.4678033698902,236.63742372881347,0.06390748583932201,4.990022782042482,0.7566096379822458,3702.8122859311643
6.36,88.2,11.7,38.91295478372209,86.81604158664399,238.0845990566038,0.0642983172442217,4.977503125638938,0.7566096379822458,3702.8122859311643
6.81,88.5,8.5,40.53048482315502,90.1803402948438,241.2217621145374,0.06514555518546256,4.950626269582507,0.7566096379822458,3702.8122859311643
7.26,88.4,8.9,41.6882753301213,92.90356241090092,239.38185950413225,0.06464866188698348,4.9663449120166545,0.7566096379822458,3702.8122859311643
7.71,88.2,10.8,41.86990983988382,94.30606355732608,227.37864461738,0.06140701365859273,5.073120559244986,0.7566096379822458,3702.8122859311643
8.17,89.5,3.1,41.012432871020955,94.30207834997331,205.8775581395349,0.055600322738953496,5.287026213471705,0.7566096379822458,3702.8122859311643
8.62,89.7,9.5,39.84253380496778,93.7776038671781,184.15632250580052,0.04973417723752902,5.539931106818658,0.7566096379822458,3702.8122859311643
9.07,93.7,7.3,38.96450756778533,93.57696981468007,167.39061190738704,0.04520634560476849,5.767658946187037,0.7566096379822458,3702.8122859311643
9.53,97.0,5.7,38.29049033376303,93.62062886119959,153.8469727177335,0.041548682687014706,5.978073528499723,0.7566096379822458,3702.8122859311643
9.96,96.2,1.5,37.08311475591014,92.78874385320994,138.0680120481928,0.03728733767379519,6.260920375992306,0.7566096379822458,3702.8122859311643
10.45,94.8,2.1,35.832038736304135,91.93689889090396,122.8645933014354,0.033181426389952154,6.5831941474267,0.7566096379822458,3702.8122859311643
10.93,92.5,13.9,34.64725963189585,91.08245480274466,109.82914913083255,0.029661009160018296,6.910853281470385,0.7566096379822458,3702.8122859311643
11.32,92.8,10.6,33.64879418344735,90.27856150063012,100.0213206713781,0.027012257967115733,7.198305084532599,0.7566096379822458,3702.8122859311643
11.8,93.5,12.1,33.04233118289325,90.17592398565266,92.52505508474572,0.024987779001461853,7.448002990913374,0.7566096379822458,3702.8122859311643
