R_kpc,Vobs_kms,Verr_kms,Vbary_kms,Vpred_kms,gN_code,y,nu,beta,a0_code
1.74,145.0,6.8,144.0638223149726,161.95607566610695,11927.807413793103,3.2212833092060347,1.2638182519765142,0.9718922594689661,3702.8122859311643
3.5,174.0,6.8,149.85603141015045,179.1166961407503,6416.237185714285,1.7328010955599287,1.4286428949269079,0.9718922594689661,3702.8122859311643
5.24,194.0,6.4,152.06377099756534,190.24231704698605,4412.860772900763,1.1917592446334446,1.5651744182439287,0.9718922594689661,3702.8122859311643
6.98,190.0,5.5,139.55216282809806,186.20085464888908,2790.0868409742106,0.7535048027077003,1.7802877217330728,0.9718922594689661,3702.8122859311643
8.81,186.0,5.8,131.17682131382816,185.11683604911465,1953.1621396140747,0.5274807332348751,1.991487716630602,0.9718922594689661,3702.8122859311643
10.9,188.0,7.0,122.59910460521316,183.57102750713315,1378.9486651376144,0.37240577125038987,2.2419900503327974,0.9718922594689661,3702.8122859311643
13.12,187.0,8.5,113.3353803981793,180.58382885956294,979.0326562500004,0.2644024543101564,2.5387895423715463,0.9718922594689661,3702.8122859311643
15.33,179.0,12.6,104.71663143932774,177.15843736786348,715.301559034573,0.19317791554067196,2.862149767899788,0.9718922594689661,3702.8122859311643
17.3,176.0,11.7,99.25619653200499,175.673158175482,569.4677774566474,0.15379331531882948,3.132532312949273,0.9718922594689661,3702.8122859311643
19.05,167.0,13.5,95.38021335685929,174.94350252060366,477.5530236220472,0.1289703573244882,3.364178688464717,0.9718922594689661,3702.8122859311643
