R_kpc,Vobs_kms,Verr_kms,Vbary_kms,Vpred_kms,gN_code,y,nu,beta,a0_code
0.76,206.0,16.0,241.6282074800043,250.4879426318194,76821.30348684212,20.746745326174022,1.0746780713302846,0.8788082564064043,3702.8122859311643
2.28,214.0,10.0,237.13018666968574,258.3429502571984,24662.598872807022,6.660504764584629,1.1869147950203365,0.8788082564064043,3702.8122859311643
3.8,222.0,8.0,219.6560552318101,251.33788824711277,12697.04805263158,3.429028282333948,1.3092710461158485,0.8788082564064043,3702.8122859311643
5.33,224.0,8.0,198.35746386259328,239.41043500558652,7381.929356472795,1.9936007516558256,1.4567635210420753,0.8788082564064043,3702.8122859311643
6.85,225.0,8.0,181.21751673058537,230.24001151603892,4794.129689051093,1.2947266344735835,1.6142145103265098,0.8788082564064043,3702.8122859311643
8.0,222.0,6.0,168.75153842261707,223.1173123821106,3559.6352150000007,0.9613328843389753,1.748119262152271,0.8788082564064043,3702.8122859311643
10.28,220.0,3.0,154.78908304528457,217.87383313064683,2330.7062480544755,0.629442182880832,1.9812053554751488,0.8788082564064043,3702.8122859311643
12.56,218.0,2.0,145.16609015193598,215.44985605883886,1677.8020485668792,0.4531156102462143,2.202734007503208,0.8788082564064043,3702.8122859311643
14.91,219.0,2.0,136.5528213549614,213.1358577833789,1250.6152260228037,0.3377474010158485,2.436192977928709,0.8788082564064043,3702.8122859311643
17.15,217.0,2.0,130.29179379377658,212.07024386237646,989.8514011661805,0.2673242186559446,2.649264652550986,0.8788082564064043,3702.8122859311643
19.39,218.0,2.0,125.89936644002621,212.31034649588474,817.46521248066,0.22076874260858947,2.8437749803716823,0.8788082564064043,3702.8122859311643
21.64,220.0,2.0,124.79023038683758,215.58086366519362,719.621146025878,0.19434448480147878,2.984415191012836,0.8788082564064043,3702.8122859311643
24.01,222.0,2.0,122.25483086569626,217.18119034702585,622.5007775926697,0.16811567250056436,3.155820986327535,0.8788082564064043,3702.8122859311643
26.25,218.0,3.0,118.3161503346014,216.6584811852488,533.284244952381,0.14402140961306478,3.3532298814948,0.8788082564064043,3702.8122859311643
28.5,217.0,3.0,113.51460113130821,214.82959566017692,452.12507614035087,0.12210315868784387,3.5816633848390835,0.8788082564064043,3702.8122859311643
30.87,207.0,3.0,108.33385495771854,212.36920804378244,380.18218756073856,0.10267390248359087,3.842861215461752,0.8788082564064043,3702.8122859311643
33.12,199.0,3.0,104.3590275443385,210.79001481481143,328.8287025966185,0.08880512356675578,4.079810784926994,0.8788082564064043,3702.8122859311643
35.36,191.0,3.0,100.32685418171945,208.84078678785474,284.65717392533935,0.07687593967614678,4.333075454149829,0.8788082564064043,3702.8122859311643
37.73,193.0,3.0,96.74932366688668,207.32754804562495,248.08989212827987,0.06700039671762391,4.592172014893604,0.8788082564064043,3702.8122859311643
39.98,192.0,3.0,93.77122197134896,206.1739461303088,219.93601975987994,0.059397021176451986,4.834242316202575,0.8788082564064043,3702.8122859311643
42.22,194.0,4.0,91.11268610901557,205.21508565162725,196.6253332543818,0.053101620625344625,5.072953316316531,0.8788082564064043,3702.8122859311643
44.59,196.0,5.0,88.55013116873403,204.32956983468597,175.8494220677282,0.04749077417072102,5.324563659155585,0.8788082564064043,3702.8122859311643
